dep,arr,dist,freq,pasN,pasV,crgN,cv_id,dep_lat,dep_lon,arr_lat,arr_lon,year
福島,大阪,662.0,32.0,56936.0,85700.0,0.0,cv_00733,37.227985,140.43062,34.7914,135.4404,2011
大阪,新潟,611.0,65.0,194379.0,338826.0,103.0,cv_00734,34.7914,135.4404,37.95452,139.11305,2011
新潟,大阪,611.0,65.0,197041.0,338695.0,102.0,cv_00735,37.95452,139.11305,34.7914,135.4404,2011
大阪,松本,385.0,2.0,3942.0,10212.0,1.0,cv_00736,34.7914,135.4404,36.166203,137.92468,2011
松本,大阪,385.0,2.0,3897.0,10360.0,0.0,cv_00737,36.166203,137.92468,34.7914,135.4404,2011
大阪,但馬,175.0,12.0,13555.0,23170.0,0.0,cv_00738,34.7914,135.4404,35.51271,134.78685,2011
但馬,大阪,175.0,12.0,14543.0,21671.0,0.0,cv_00739,35.51271,134.78685,34.7914,135.4404,2011
大阪,隠岐,366.0,6.0,18776.0,27436.0,1.0,cv_00740,34.7914,135.4404,36.17799,133.32285,2011
隠岐,大阪,366.0,6.0,18306.0,27436.0,0.0,cv_00741,36.17799,133.32285,34.7914,135.4404,2011
大阪,出雲,362.0,46.0,56005.0,90986.0,21.0,cv_00742,34.7914,135.4404,35.41347,132.8881,2011
出雲,大阪,362.0,46.0,55031.0,90952.0,22.0,cv_00743,35.41347,132.8881,34.7914,135.4404,2011
大阪,石見,477.0,7.0,13628.0,24102.0,0.0,cv_00744,34.7914,135.4404,34.67646,131.79147,2011
石見,大阪,477.0,6.0,12774.0,24046.0,0.0,cv_00745,34.67646,131.79147,34.7914,135.4404,2011
大阪,松山,378.0,92.0,262767.0,403651.0,64.0,cv_00746,34.7914,135.4404,33.82728,132.70114,2011
松山,大阪,378.0,92.0,258137.0,404191.0,175.0,cv_00747,33.82728,132.70114,34.7914,135.4404,2011
大阪,高知,300.0,59.0,140561.0,250678.0,25.0,cv_00748,34.7914,135.4404,33.546574,133.67201,2011
高知,大阪,300.0,59.0,140620.0,250655.0,76.0,cv_00749,33.546574,133.67201,34.7914,135.4404,2011
大阪,佐賀,660.0,14.0,24280.0,53871.0,2.0,cv_00750,34.7914,135.4404,33.150776,130.29915,2011
佐賀,大阪,660.0,14.0,24041.0,53872.0,41.0,cv_00751,33.150776,130.29915,34.7914,135.4404,2011
大阪,長崎,673.0,42.0,198346.0,280482.0,316.0,cv_00752,34.7914,135.4404,32.916122,129.9171,2011
長崎,大阪,673.0,42.0,192543.0,280006.0,535.0,cv_00753,32.916122,129.9171,34.7914,135.4404,2011
大阪,熊本,621.0,55.0,279946.0,475075.0,1088.0,cv_00754,34.7914,135.4404,32.836884,130.85698,2011
熊本,大阪,621.0,55.0,280115.0,475802.0,1927.0,cv_00755,32.836884,130.85698,34.7914,135.4404,2011
大阪,大分,462.0,42.0,117514.0,211726.0,250.0,cv_00756,34.7914,135.4404,33.47985,131.73596,2011
大分,大阪,462.0,41.0,116226.0,211176.0,442.0,cv_00757,33.47985,131.73596,34.7914,135.4404,2011
大阪,宮崎,568.0,65.0,289297.0,490413.0,639.0,cv_00758,34.7914,135.4404,31.875992,131.44746,2011
宮崎,大阪,568.0,65.0,292765.0,487443.0,1501.0,cv_00759,31.875992,131.44746,34.7914,135.4404,2011
大阪,鹿児島,655.0,83.0,472879.0,746725.0,1412.0,cv_00760,34.7914,135.4404,31.804005,130.71729,2011
鹿児島,大阪,655.0,83.0,470212.0,749022.0,3966.0,cv_00761,31.804005,130.71729,34.7914,135.4404,2011
大阪,種子島,692.0,1.0,1976.0,4094.0,0.0,cv_00762,34.7914,135.4404,30.604635,130.99226,2011
種子島,大阪,692.0,1.0,1857.0,4094.0,0.0,cv_00763,30.604635,130.99226,34.7914,135.4404,2011
大阪,屋久島,663.0,6.0,15980.0,26566.0,0.0,cv_00764,34.7914,135.4404,30.385855,130.65889,2011
屋久島,大阪,663.0,6.0,14786.0,26196.0,1.0,cv_00765,30.385855,130.65889,34.7914,135.4404,2011
大阪,奄美,989.0,8.0,39814.0,69592.0,14.0,cv_00766,34.7914,135.4404,28.430658,129.71019,2011
奄美,大阪,989.0,8.0,38373.0,69592.0,197.0,cv_00767,28.430658,129.71019,34.7914,135.4404,2011
関西,稚内,1604.0,2.0,8793.0,16284.0,0.0,cv_00768,34.431736,135.24341,45.403435,141.79831,2011
稚内,関西,1604.0,2.0,7349.0,16284.0,0.0,cv_00769,45.403435,141.79831,34.431736,135.24341,2011
関西,函館,1197.0,9.0,45947.0,61764.0,14.0,cv_00770,34.431736,135.24341,41.77024,140.82375,2011
函館,関西,1197.0,9.0,43133.0,61396.0,14.0,cv_00771,41.77024,140.82375,34.431736,135.24341,2011
関西,旭川,1461.0,2.0,8566.0,14685.0,1.0,cv_00772,34.431736,135.24341,43.6687,142.4513,2011
旭川,関西,1461.0,2.0,11182.0,14686.0,12.0,cv_00773,43.6687,142.4513,34.431736,135.24341,2011
関西,女満別,1589.0,2.0,8515.0,14640.0,0.0,cv_00774,34.431736,135.24341,43.87951,144.16162,2011
女満別,関西,1589.0,2.0,11462.0,14640.0,19.0,cv_00775,43.87951,144.16162,34.431736,135.24341,2011
関西,福江,717.0,0.0,1003.0,1764.0,0.0,cv_00776,34.431736,135.24341,32.66689,128.8333,2011
福江,関西,717.0,0.0,1043.0,1764.0,0.0,cv_00777,32.66689,128.8333,34.431736,135.24341,2011
佐賀,関西,624.0,5.0,0.0,0.0,1736.0,cv_00778,33.150776,130.29915,34.431736,135.24341,2011
関西,石垣,1650.0,7.0,36157.0,54524.0,80.0,cv_00779,34.431736,135.24341,24.34473,124.185486,2011
石垣,関西,1650.0,2.0,16627.0,22620.0,147.0,cv_00780,24.34473,124.185486,34.431736,135.24341,2011
石垣,関西,1650.0,4.0,28540.0,32100.0,373.0,cv_00781,24.34473,124.185486,34.431736,135.24341,2011
新千歳,稚内,357.0,9.0,13289.0,47007.0,2.0,cv_00782,42.783703,141.68295,45.403435,141.79831,2011
稚内,新千歳,357.0,9.0,15938.0,46934.0,1.0,cv_00783,45.403435,141.79831,42.783703,141.68295,2011
新千歳,釧路,276.0,35.0,43438.0,121164.0,14.0,cv_00784,42.783703,141.68295,43.042946,144.19371,2011
釧路,新千歳,276.0,35.0,46232.0,120761.0,65.0,cv_00785,43.042946,144.19371,42.783703,141.68295,2011
新千歳,函館,160.0,17.0,17693.0,66352.0,0.0,cv_00786,42.783703,141.68295,41.77024,140.82375,2011
函館,新千歳,160.0,17.0,18821.0,66098.0,0.0,cv_00787,41.77024,140.82375,42.783703,141.68295,2011
新千歳,旭川,224.0,7.0,13862.0,71508.0,0.0,cv_00788,42.783703,141.68295,43.6687,142.4513,2011
旭川,新千歳,224.0,7.0,12450.0,71508.0,0.0,cv_00789,43.6687,142.4513,42.783703,141.68295,2011
新千歳,利尻,368.0,6.0,13061.0,37606.0,0.0,cv_00790,42.783703,141.68295,45.243275,141.19081,2011
利尻,新千歳,368.0,6.0,12138.0,37229.0,2.0,cv_00791,45.243275,141.19081,42.783703,141.68295,2011
新千歳,中標津,374.0,10.0,23079.0,40195.0,0.0,cv_00792,42.783703,141.68295,43.57671,144.95811,2011
中標津,新千歳,374.0,10.0,22186.0,40194.0,0.0,cv_00793,43.57671,144.95811,42.783703,141.68295,2011
新千歳,女満別,354.0,30.0,68741.0,132624.0,15.0,cv_00794,42.783703,141.68295,43.87951,144.16162,2011
女満別,新千歳,354.0,30.0,67698.0,132124.0,41.0,cv_00795,43.87951,144.16162,42.783703,141.68295,2011
新千歳,青森,307.0,14.0,43665.0,91535.0,81.0,cv_00796,42.783703,141.68295,40.734207,140.68896,2011
